ID,TYPE,NAME,DESC,POWER,COST,,,
1000,0,휘두르기,무기를 한 손으로 쥐고 휘두른다.,25,2,,,
1001,0,내리찍기,단숨에 뛰어들어 위에서 아래로 내려찍는다.,70,4,,,
1002,0,올려치기,상대방의 품 안으로 파고들어 턱을 노린다. 치명타 확률이 높지만 명중률이 낮다.,45,3,,,
1003,0,질러찌르기,손을 강하게 뻗어서 찔러버린다. 명중률이 낮지만 위력이 높다.,45,2,,,
1004,0,멍뭉베기,강아지 일족의 비기. 선조의 힘을 빌어서 적을 벤다. 선조가 멍뭉하기에 적의 방어력이 감소한다.,25,3,,,
2000,1,진정한 야옹소리,고양이 일족의 비기. 자세를 정돈하고 턱을 곧게 들어 '야옹'하고 외친다. 정갈한 야옹소리에 HP가 회복된다.,150,8,,,
2001,1,야옹소리,고양이 일족의 비기...는 아닌 그 무언가. '야옹'하고 외쳐서 자신을 고무시킨다. 급작스럽게 쓰기 좋은 회복 기술.,25,3,,,
2002,1,멍뭉호통,강아지 일족의 비기. 선조의 멍뭉소리를 재현해서 멍뭉한다. 적의 공격력과 명중률이 감소한다.,0,3,,,
2003,1,아침의 땀 한 방울,토끼 일족의 종족 특성. 자신의 땀을 닦아내어 자신의 노동을 치하한다. 방어력과 공격력이 상승한다.,0,3,,,
2004,1,노동예찬,토끼 일족의 시례 행사. '노동에 대한 맹세' 32구절을 외친다. 그 자긍심으로 HP를 크게 회복하고 방어력이 상승한다.,40,5,,,
2005,1,치유의 찬가,태양서 12절을 읊는다. 이 구절은 생명에 대한 예찬이다. 그렇기에 HP를 소량 회복한다.,40,4,,,
3000,0,물어뜯기,강력한 이빨으로 상대방을 물어뜯는다.,45,3,,,
3001,0,햘퀴기,발톱을 이용해서 햘퀸다.,25,2,,,
3002,0,달의 이빨,달빛을 머금은 이빨으로 적을 문다. 상대의 방어력이 감소한다.,50,4,,,
3003,0,태양의 이빨,햇빛을 머금은 이빨으로 적을 문다. 자신의 공격력이 상승한다.,50,4,,,
3004,0,밤의 이빨,어둠을 머금은 이빨으로 적을 문다. 자신의 공격력이 상승하고 상대의 방어력이 감소한다.,45,5,,,
3010,0,유체박치기,슬라임의 몸통 박치기. 중량 때문인지 아프다. 그 뿐이다.,25,2,,,
3011,0,유체 풍차,몸톰을 쥐어짠 뒤 마치 풍차 날개 처럼 후드려친다. 사용 뒤 공격력이 감소한다.,140,5,,,
3012,0,슬라루 슬라!,온 몸을 비틀어 압축한 뒤에 터트리는 기술. 극도로 높은 피해를 입히지만 모든 능력치가 크게 감소한다.,350,8,,,
4000,1,하울링,하늘을 향해서 울부짖는다. 자신의 명중률이 상승하고 상대방의 명중률이 감소한다.,0,4,,,
4001,1,어둠 두르기,자신의 주위를 어둠으로 두른다. 상대방의 명중률이 감소하고 자신의 회피율이 상승한다.,0,4,,,
4010,1,점액 모으기,퍼트려진 점액을 모아 체력을 회복한다.,40,2,,,
4011,1,슬레루 슬리!,온 몸을 비틀며 몸의 형상을 정돈한다. 모든 능력치가 초기화된다.,0,3,,,
5000,0,짱돌,널부러진 돌맹이와는 차원을 달리하는 레어 돌맹이. 맞으면 아프다.,45,2,,,
5001,0,화염병,안에 인화성 액체가 들어있는 병. 왜인지는 몰라도 절대로 안깨진다. 액체는 거들 뿐이다.,70,2,,,
6000,1,회복약,약초를 달여서 만든 회복약. 쓰디 쓰고 쓴데 씁다. 한 마디로 매우 쓰다.,45,2,,,
6001,1,회복약 G,회복약에 벌꿀을 넣고 달인 약. 벌꿀을 넣었는데도 회복약 보다 더 쓰다. 분명 벌꿀 말고 다른 게 들어갔다.,70,2,,,
6002,1,회복약 GG,회복약을 더욱 달인 약. 이번에는 대추야자를 넣었다. 제발 그만 좀 써져라.,100,2,,,
6003,1,회복약 GGG,회복약에 쑥을 넣고 극도로 달인 약. 이젠 고약이나 다름 없다. 이젠 너무 달다. 살려줘.,150,2,,,
